Designator,Mid X,Mid Y,Rotation,Layer
J1,52.54,-64.13,0.0,top
J2,87.46,-64.13,180.0,top
J3,97.0,-69.13,0.0,top
J4,114.78,-69.13,180.0,top
J5,111.76,-99.06,90.0,top
R1,40.64,-43.18,0.0,top
R10,40.64,-79.63,0.0,top
R11,40.64,-83.68,0.0,top
R12,40.64,-87.73,0.0,top
R13,40.64,-91.78,0.0,top
R14,40.64,-95.83,0.0,top
R15,40.64,-99.88,0.0,top
R16,40.64,-103.93,0.0,top
R2,40.64,-47.23,0.0,top
R3,40.64,-51.28,0.0,top
R4,40.64,-55.33,0.0,top
R5,40.64,-59.38,0.0,top
R6,40.64,-63.43,0.0,top
R7,40.64,-67.48,0.0,top
R8,40.64,-71.53,0.0,top
R9,40.64,-75.58,0.0,top
U1,69.62,-64.13,0.0,top
